timestamp,1799_transform_pitch,1799_transform_yaw,1799_transform_roll,1799_vel_x,1799_vel_y,1799_vel_z,1799_angular_vel_x,1799_angular_vel_y,1799_angular_vel_z,1799_acc_x,1799_acc_y,1799_acc_z,1800_transform_pitch,1800_transform_yaw,1800_transform_roll,1800_vel_x,1800_vel_y,1800_vel_z,1800_angular_vel_x,1800_angular_vel_y,1800_angular_vel_z,1800_acc_x,1800_acc_y,1800_acc_z
1576073786607,0.0,0.0,0.0,1.0502511749166388e-08,-9.378496912404444e-08,0.028386704623699188,2.911307274189312e-05,-3.7687773328798357e-06,-1.0544730887074305e-11,1.2886232525488595e-06,-4.713127054856159e-06,-0.16391649842262268,0.0,-179.99996948242188,0.0,0.0,0.0,-7.808070659637451,0.0,0.0,0.0,0.0,0.0,-9.723529815673828
1576073786650,0.0,0.0,0.0,-2.1121303817039916e-08,1.8361465947691613e-07,0.021864239126443863,-2.5864021608867915e-06,7.837824341550004e-06,8.687015551345212e-09,-6.324763148768398e-07,5.5479927141277585e-06,-0.1304493099451065,0.0,-179.99996948242188,0.0,0.0,0.0,-8.2940034866333,0.0,0.0,0.0,0.0,0.0,-9.718656539916992
1576073786694,0.0,0.0,0.0,1.2374332669651267e-08,3.92427978113119e-07,0.01673617772758007,5.296455128700472e-06,-4.4464059101301245e-06,-5.176505002424392e-09,6.699127652609604e-07,4.176266429567477e-06,-0.10256122797727585,0.0,-179.99996948242188,0.0,0.0,0.0,-8.779693603515625,0.0,0.0,0.0,0.0,0.0,-9.713802337646484
1576073786770,0.0,0.0,0.0,-4.9691752934677424e-08,3.201502352112584e-08,0.012740720063447952,-6.168094114400446e-05,1.808553315640893e-05,1.348906852882692e-08,-1.2413216836648644e-06,-7.208259376056958e-06,-0.07990915328264236,0.0,-179.99996948242188,0.0,0.0,0.0,-9.265140533447266,0.0,0.0,0.0,0.0,0.0,-9.708938598632812
1576073786818,0.0,0.0,0.0,1.4979912421608788e-08,-3.366482204114618e-08,0.009653465822339058,1.1973683285759762e-05,-5.377989054977661e-06,-5.894680576989941e-11,1.293433342652861e-06,-1.3135968401911668e-06,-0.06174508482217789,0.0,-179.99996948242188,0.0,0.0,0.0,-9.750345230102539,0.0,0.0,0.0,0.0,0.0,-9.704093933105469
1576073786862,0.0,0.0,0.0,1.427436924217318e-08,4.576514101017892e-08,0.007283694110810757,1.3592108189186547e-05,-5.68252517041401e-06,1.8288928149701178e-09,-1.4110863588712164e-08,1.5885993889241945e-06,-0.047395434230566025,0.0,-179.99996948242188,0.0,0.0,0.0,-10.235307693481445,0.0,0.0,0.0,0.0,0.0,-9.699249267578125
1576073786906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8548737418532255e-07,-9.153028486252879e-07,-0.14567388594150543,0.0,-179.99996948242188,0.0,0.0,0.0,-10.720027923583984,0.0,0.0,0.0,0.0,0.0,-9.694404602050781
1576073786967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-11.204506874084473,0.0,0.0,0.0,0.0,0.0,-9.689579010009766
1576073787014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-11.688743591308594,0.0,0.0,0.0,0.0,0.0,-9.684734344482422
1576073787062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-12.172739028930664,0.0,0.0,0.0,0.0,0.0,-9.679908752441406
1576073787114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-12.656492233276367,0.0,0.0,0.0,0.0,0.0,-9.675064086914062
1576073787158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-13.14000415802002,0.0,0.0,0.0,0.0,0.0,-9.670238494873047
1576073787202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-13.623274803161621,0.0,0.0,0.0,0.0,0.0,-9.665412902832031
1576073787264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-14.106303215026855,0.0,0.0,0.0,0.0,0.0,-9.660568237304688
1576073787306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-14.589090347290039,0.0,0.0,0.0,0.0,0.0,-9.655742645263672
1576073787350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-15.071635246276855,0.0,0.0,0.0,0.0,0.0,-9.650897979736328
1576073787426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-15.553938865661621,0.0,0.0,0.0,0.0,0.0,-9.646072387695312
1576073787480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-16.036001205444336,0.0,0.0,0.0,0.0,0.0,-9.641246795654297
1576073787533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-16.517822265625,0.0,0.0,0.0,0.0,0.0,-9.636421203613281
1576073787584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-16.99940299987793,0.0,0.0,0.0,0.0,0.0,-9.631614685058594
1576073787637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.99996948242188,0.0,0.0,0.0,-17.480743408203125,0.0,0.0,0.0,0.0,0.0,-9.626808166503906
